visit-id,duration,assigned orient,nominal orient,ra,dec,start,end,slew,gap
0099401110003,8460.0,238.34655542377573,229.74736817035912,6.277555173173066,-0.4095790820407551,2026.362:00:00:00,2026.362:02:21:38,,
0099401110002,8460.0,238.34655542377573,230.08396197445757,6.2744540939747395,-0.45071857720909103,2026.362:02:27:32,2026.362:04:49:10,354,0
0099401110001,8460.0,238.34655542377573,230.52801620301346,6.271035212136239,-0.4917813748530739,2026.362:04:55:04,2026.362:07:16:43,354,0
0099401125029,8784.0,224.1637541877713,234.88613372843523,0.17841383205196232,-0.7036473775663463,2026.362:07:22:37,2026.362:09:50:09,354,0
0099401125027,8784.0,224.1637541877713,236.08840779737648,0.17882173731476905,-0.7860493651339142,2026.362:09:56:03,2026.362:12:23:36,354,0
0099401125028,8784.0,224.1637541877713,235.59230324835832,0.1787303911450428,-0.7448786479645157,2026.362:12:29:30,2026.362:14:57:02,354,0
0099401110006,8460.0,238.34655542377573,231.56122993177684,0.034637658890975136,-0.49435287509904763,2026.362:15:02:57,2026.362:17:24:35,354,0
0099401110005,8460.0,238.34655542377573,232.0500253959232,0.03188312936004116,-0.5355041512398335,2026.362:17:30:29,2026.362:19:52:07,354,0
0099401110004,8460.0,238.34655542377573,232.6347464569567,0.028776356025028656,-0.576576693638807,2026.362:19:58:01,2026.362:22:19:40,354,0
0099401110009,8460.0,238.34655542377573,234.37276944720813,0.07325405033905391,-0.6608824475693554,2026.362:22:25:34,2026.363:00:47:12,354,0
0099401057001,98676.0,231.27496675310144,242.1060482261418,0.6232279870663086,-0.08290313946973066,2026.363:01:04:55,2026.364:04:31:28,1062,0
0099401084001,15624.0,239,242.31936061856487,0.6232279870663086,-0.08290313946973066,2026.364:04:31:28,2026.364:08:57:02,0,0
0099401052001,131580.0,245.61404622964614,242.66767069786613,0.6232279870663086,-0.08290313946973066,2026.364:08:57:02,2026.365:21:32:27,0,0
0099401085001,15624.0,241,242.95754495396622,0.6232279870663086,-0.08290313946973066,2026.365:21:32:27,2027.001:01:58:01,0,0
0099401092001,15624.0,255,243.0255992085149,0.6232279870663086,-0.08290313946973066,2027.001:01:58:01,2027.001:06:23:36,0,0
0099401093001,15624.0,257,243.09365345879272,0.6232279870663086,-0.08290313946973066,2027.001:06:23:36,2027.001:10:49:10,0,0
0099401091001,15624.0,253,243.1617077090705,0.6232279870663086,-0.08290313946973066,2027.001:10:49:10,2027.001:15:14:45,0,0
0099401141063,8460.0,247.01343915348963,234.09727740811056,0.8965444389891075,-0.5150858836903288,2027.001:15:20:39,2027.001:17:42:17,354,0
0099401141031,8460.0,247.01343915348963,235.20924367463044,0.794612920071561,-0.6370989912965336,2027.001:17:48:11,2027.001:20:09:50,354,0
0099401141059,8460.0,247.01343915348963,233.9071273306883,0.8972087331190325,-0.6800815541549742,2027.001:20:15:44,2027.001:22:37:22,354,0
0099401141045,8460.0,247.01343915348963,234.69961892591056,0.8459003873447083,-0.6385374334883859,2027.001:22:43:16,2027.002:01:04:55,354,0
0099401141073,8460.0,247.01343915348963,233.23483205408323,0.9502975838019837,-0.6794113962035766,2027.002:01:10:49,2027.002:03:32:27,354,0
0099401141032,8460.0,247.01343915348963,235.56171903154615,0.797380510483064,-0.5961973457201503,2027.002:03:38:21,2027.002:06:00:00,354,0
0099401141060,8460.0,247.01343915348963,234.1930097777474,0.8973115984618217,-0.6389108854669445,2027.002:06:05:54,2027.002:08:27:32,354,0
0099401141046,8460.0,247.01343915348963,235.0644620461018,0.8472395930241738,-0.5974343478275012,2027.002:08:33:26,2027.002:10:55:04,354,0
0099401141074,8460.0,247.01343915348963,233.5172853214238,0.9487531855801253,-0.6381609756650035,2027.002:11:00:59,2027.002:13:22:37,354,0
0099401141061,8460.0,247.01343915348963,234.4817321449945,0.897194697762964,-0.5976790332923572,2027.002:13:28:31,2027.002:15:50:09,354,0
0099401141075,8460.0,247.01343915348963,233.72418474965139,0.9471652123046086,-0.5968743395444521,2027.002:15:56:03,2027.002:18:17:42,354,0
0099401141062,8460.0,247.01343915348963,234.7847594678701,0.8969206519815802,-0.5563995724142864,2027.002:18:23:36,2027.002:20:45:14,354,0
0099401141065,8460.0,247.01343915348963,235.9071537210663,0.8956766758294263,-0.43240789169410543,2027.002:20:51:08,2027.002:23:12:47,354,0
0099401141067,8460.0,247.01343915348963,237.234456234793,0.8949325619750439,-0.3497485165432363,2027.002:23:18:41,2027.003:01:40:19,354,0
0099401141068,8460.0,247.01343915348963,238.10663587825837,0.89470030955704,-0.3084583897641806,2027.003:01:46:13,2027.003:04:07:52,354,0
0098101003001,828.0,113.2,120.33502049589504,2.978982465209816,-1.1100519965859328,2027.003:04:37:22,2027.003:04:55:04,1770,0
0098101003002,828.0,113.2,119.86815520180073,2.991664165726705,-1.095328689904318,2027.003:04:55:04,2027.003:05:12:47,0,0
0098101003003,828.0,113.2,119.44314626544492,3.0035502288152527,-1.080605383222702,2027.003:05:12:47,2027.003:05:30:29,0,0
0098101003007,828.0,113.2,118.79628550194954,3.011304995753456,-1.1100519965859328,2027.003:05:30:29,2027.003:05:48:11,0,0
0098101003004,828.0,113.2,119.06693474310472,3.014709936774557,-1.0658821250224548,2027.003:05:48:11,2027.003:06:05:54,0,0
0098101003008,828.0,113.2,118.39754234319713,3.023058915601012,-1.095328689904318,2027.003:06:05:54,2027.003:06:23:36,0,0
0098101003005,828.0,113.2,118.72484298112319,3.0252047179220822,-1.05115881834084,2027.003:06:23:36,2027.003:06:41:18,0,0
0098101003006,828.0,113.2,118.40325197290868,3.035089215607827,-1.0364355601405917,2027.003:06:41:18,2027.003:06:59:00,0,0
0098101003009,828.0,113.2,118.04810164791094,3.0340754047507796,-1.080605383222702,2027.003:06:59:00,2027.003:07:16:43,0,0
0098101003010,828.0,113.2,117.71163184098154,3.0444186767748214,-1.0658821250224548,2027.003:07:16:43,2027.003:07:34:25,0,0
0098101003013,828.0,113.2,117.30307001050812,3.0436275262970973,-1.1100519965859328,2027.003:07:34:25,2027.003:07:52:07,0,0
0098101003014,828.0,113.2,116.95008890702192,3.0544536582031134,-1.095328689904318,2027.003:07:52:07,2027.003:08:09:50,0,0
0098101003011,828.0,113.2,117.42821182622089,3.0541456730399843,-1.05115881834084,2027.003:08:09:50,2027.003:08:27:32,0,0
0098101003012,828.0,113.2,117.15202373187728,3.063307029911191,-1.0364355601405917,2027.003:08:27:32,2027.003:08:45:14,0,0
0098101003015,828.0,113.2,116.65428518295694,3.064600580686306,-1.080605383222702,2027.003:08:45:14,2027.003:09:02:57,0,0
0098101003016,828.0,113.2,116.36854127724153,3.0741274240472913,-1.0658821250224548,2027.003:09:02:57,2027.003:09:20:39,0,0
0098101003019,828.0,113.2,115.79924626087862,3.075950056840738,-1.1100519965859328,2027.003:09:20:39,2027.003:09:38:21,0,0
0098101003017,828.0,113.2,116.12244637853802,3.0830866281578864,-1.05115881834084,2027.003:09:38:21,2027.003:09:56:03,0,0
0098101003020,828.0,113.2,115.51427282251672,3.085848408077421,-1.095328689904318,2027.003:09:56:03,2027.003:10:13:46,0,0
0098101003018,828.0,113.2,115.90250459535227,3.0915248442145553,-1.0364355601405917,2027.003:10:13:46,2027.003:10:31:28,0,0
0098101003021,828.0,113.2,115.26125675182058,3.095125749349628,-1.080605383222702,2027.003:10:31:28,2027.003:10:49:10,0,0
0098101003024,828.0,113.2,114.5665552208392,3.0986837121128974,-1.1247752547861811,2027.003:10:49:10,2027.003:11:06:53,0,0
0098101003022,828.0,113.2,115.03708112164328,3.103836164047556,-1.0658821250224548,2027.003:11:06:53,2027.003:11:24:35,0,0
0098101003023,828.0,113.2,114.82843190558329,3.1120275832757884,-1.05115881834084,2027.003:11:24:35,2027.003:11:42:17,0,0
0098101003025,828.0,113.2,114.31781330919556,3.1082725801121747,-1.1100519965859328,2027.003:11:42:17,2027.003:12:00:00,0,0
0098101003026,828.0,113.2,114.07881506127153,3.117243157951728,-1.095328689904318,2027.003:12:00:00,2027.003:12:17:42,0,0
0098101003027,828.0,113.2,113.86879581423841,3.125650925285155,-1.080605383222702,2027.003:12:17:42,2027.003:12:35:24,0,0
0098101003028,828.0,113.2,113.68479241744639,3.133544904047821,-1.0658821250224548,2027.003:12:35:24,2027.003:12:53:06,0,0
0098101003030,828.0,113.2,113.01267047868477,3.1319979678263423,-1.1247752547861811,2027.003:12:53:06,2027.003:13:10:49,0,0
0098101003031,828.0,113.2,112.80250902579496,3.1405951106558154,-1.1100519965859328,2027.003:13:10:49,2027.003:13:28:31,0,0
0098101003029,828.0,113.2,113.54549978613313,3.14096853839369,-1.05115881834084,2027.003:13:28:31,2027.003:13:46:13,0,0
0098101003032,828.0,113.2,112.63191348510566,3.148637907826035,-1.095328689904318,2027.003:13:46:13,2027.003:14:03:56,0,0
0098101003033,828.0,113.2,112.47598840752578,3.156176101220682,-1.080605383222702,2027.003:14:03:56,2027.003:14:21:38,0,0
0098101003034,828.0,113.2,112.34311021615429,3.1632536440480856,-1.0658821250224548,2027.003:14:21:38,2027.003:14:39:20,0,0
0098101003036,828.0,113.2,111.44656623467772,3.1653122235397873,-1.1247752547861811,2027.003:14:39:20,2027.003:14:57:02,0,0
0098101003035,828.0,113.2,112.24164946840915,3.169909493511592,-1.05115881834084,2027.003:14:57:02,2027.003:15:14:45,0,0
0098101003037,828.0,113.2,111.30854863723475,3.1729176411994566,-1.1100519965859328,2027.003:15:14:45,2027.003:15:32:27,0,0
0098101003038,828.0,113.2,111.1843759899836,3.180032650428136,-1.095328689904318,2027.003:15:32:27,2027.003:15:50:09,0,0
0098101003039,828.0,113.2,111.08263495118638,3.1867012771562084,-1.080605383222702,2027.003:15:50:09,2027.003:16:07:52,0,0
0098101003040,828.0,113.2,111.00114734761686,3.192962391320556,-1.0658821250224548,2027.003:16:07:52,2027.003:16:25:34,0,0
0098101003041,828.0,113.2,110.93771268514196,3.198850441357289,-1.05115881834084,2027.003:16:25:34,2027.003:16:43:16,0,0
0098101003042,828.0,113.2,109.88997470258805,3.198626479253232,-1.1247752547861811,2027.003:16:43:16,2027.003:17:00:59,0,0
0098101003043,828.0,113.2,109.80214509821022,3.2052401644708928,-1.1100519965859328,2027.003:17:00:59,2027.003:17:18:41,0,0
0098101003044,828.0,113.2,109.73579207306003,3.2114274003024437,-1.095328689904318,2027.003:17:18:41,2027.003:17:36:23,0,0
0098101003045,828.0,113.2,109.68853100978838,3.2172264530917354,-1.080605383222702,2027.003:17:36:23,2027.003:17:54:05,0,0
0098101003046,828.0,113.2,109.65846895469578,3.2226711313208214,-1.0658821250224548,2027.003:17:54:05,2027.003:18:11:48,0,0
0098101003047,828.0,113.2,109.64379465982066,3.2277913964751916,-1.05115881834084,2027.003:18:11:48,2027.003:18:29:30,0,0
0098101003048,828.0,113.2,108.32010130359832,3.2319407349666776,-1.1247752547861811,2027.003:18:29:30,2027.003:18:47:12,0,0
0098101003049,828.0,113.2,108.29390956523919,3.237562695014534,-1.1100519965859328,2027.003:18:47:12,2027.003:19:04:55,0,0
0098101003050,828.0,113.2,108.28547492135962,3.242822150176751,-1.095328689904318,2027.003:19:04:55,2027.003:19:22:37,0,0
0098101003051,828.0,113.2,108.29292615062774,3.247751629027263,-1.080605383222702,2027.003:19:22:37,2027.003:19:40:19,0,0
0098101003052,828.0,113.2,108.31462052322786,3.2523798713210854,-1.0658821250224548,2027.003:19:40:19,2027.003:19:58:01,0,0
0098101003053,828.0,113.2,106.73642830728613,3.2652549906801225,-1.1247752547861811,2027.003:19:58:01,2027.003:20:15:44,0,0
0098101003055,828.0,113.2,106.81125136008976,3.274216892778852,-1.095328689904318,2027.003:20:15:44,2027.003:20:33:26,0,0
0098101003054,828.0,113.2,106.7832774501464,3.2698852255581747,-1.1100519965859328,2027.003:20:33:26,2027.003:20:51:08,0,0
0098101003056,828.0,113.2,106.88474458917236,3.2782768049627897,-1.080605383222702,2027.003:20:51:08,2027.003:21:08:51,0,0
0098101003057,828.0,113.2,106.95845894363553,3.2820886113213503,-1.0658821250224548,2027.003:21:08:51,2027.003:21:26:33,0,0
0098101003058,828.0,113.2,105.1494468222259,3.298569246393568,-1.1247752547861811,2027.003:21:26:33,2027.003:21:44:15,0,0
0098101003060,828.0,113.2,105.3452256600962,3.30561164265316,-1.095328689904318,2027.003:21:44:15,2027.003:22:01:58,0,0
0098101003059,828.0,113.2,105.2585581651064,3.3022077488296104,-1.1100519965859328,2027.003:22:01:58,2027.003:22:19:40,0,0
0098101003061,828.0,113.2,105.47412809403666,3.3088019808983167,-1.080605383222702,2027.003:22:19:40,2027.003:22:37:22,0,0
0098101003062,828.0,113.2,105.6001951731219,3.3117973585938207,-1.0658821250224548,2027.003:22:37:22,2027.003:22:55:04,0,0
0098101003064,828.0,113.2,103.70813537492424,3.3345302793732516,-1.1100519965859328,2027.003:22:55:04,2027.003:23:12:47,0,0
0098101003063,828.0,113.2,103.569739385588,3.331883502107013,-1.1247752547861811,2027.003:23:12:47,2027.003:23:30:29,0,0
0098101003065,828.0,113.2,103.88684270241113,3.3370063925274667,-1.095328689904318,2027.003:23:30:29,2027.003:23:48:11,0,0
0098101003066,828.0,113.2,104.06048471603306,3.3393271568338436,-1.080605383222702,2027.003:23:48:11,2027.004:00:05:54,0,0
0098101003067,828.0,113.2,104.23920321590069,3.341506098594085,-1.0658821250224548,2027.004:00:05:54,2027.004:00:23:36,0,0
0098101003068,828.0,113.2,101.96294374066224,3.3651977578204586,-1.1247752547861811,2027.004:00:23:36,2027.004:00:41:18,0,0
0098101003069,828.0,113.2,102.1867096722631,3.366852809916893,-1.1100519965859328,2027.004:00:41:18,2027.004:00:59:00,0,0
